Date,Location,Suspected_Target,People_Killed,Min_Civilians,Max_Civilians,Latitude,Longitude,Country
2016-06-11,"Ghwagezai, Hesarak, Nangarhar, Afghanistan",0,6,0,0,34.283562,69.883565,Afghanistan 
2016-06-14,"Karkanai, Achin, Nangarhar, Afghanistan",0,10,0,0,34.08218,70.667034,Afghanistan 
2016-06-15,"Karkanai, Achin, Nangarhar, Afghanistan",0,21,0,0,34.08218,70.667034,Afghanistan 
2016-06-18,"Taraki, Dasht e Archi, Nangarhar, Afghanistan",0,8,0,0,37.122858,69.158119,Afghanistan 
2016-06-18,"Dara e Mohmand, Mazdaki, Abdulkhail, Achin, Nangarhar, Afghanistan",0,23,0,0,34.08218,70.667034,Afghanistan 
2016-06-21,"Moghul Qeshlag, Imam Sahib, Kunduz, Afghanistan",0,5,0,0,37.157843,68.882423,Afghanistan 
2016-06-22,"Pir Shah Khelo, Kot, Nangarhar, Afghanistan",0,4,0,0,34.171831,70.621679,Afghanistan 
2016-06-23,"Rahmati and Marsing, Lal Pura, Nangarhar, Afghanistan",3,7,0,0,34.1819776,70.6514757,Afghanistan 
2016-06-25,"Sarak Payin, Chahar Dara, Kunduz, Afghanistan",0,7,0,15,36.599741,68.863499,Afghanistan 
2016-06-26,"Kot, Nangarhar, Afghanistan",0,30,0,0,34.263148,70.788209,Afghanistan 
2016-06-27,"Chahar Dara, Kunduz, Afghanistan",0,4,0,0,36.599741,68.863499,Afghanistan 
2016-06-28,"Hazrat Sultan, Kunduz city, Kunduz, Afghanistan",8,14,0,0,36.728590,68.868066,Afghanistan 
2016-06-29,"Gortipa, Kunduz, Afghanistan",0,10,0,0,36.728590,68.868066,Afghanistan 
2016-06-29,"Dasht e Archi, Nangarhar, Afghanistan",0,10,0,0,37.122858,69.158119,Afghanistan 
2016-07-03,"Ab Band, Ghazni, Afghanistan",0,12,0,0,32.983333,67.966667,Afghanistan 
2016-07-03,"Mamond and Pekha, Achin, Nangarhar, Afghanistan",0,19,0,0,34.08218,70.667034,Afghanistan 
2016-07-03,"Wazir, Khogyani, Nangarhar, Afghanistan",3,11,0,0,34.195889,70.158546,Afghanistan 
2016-07-05,"Kot, Nangarhar, Afghanistan",0,12,0,0,34.263148,70.788209,Afghanistan 
2016-07-08,"Achin, Nangarhar, Afghanistan",0,16,0,0,34.08218,70.667034,Afghanistan 
2016-07-09,"Mamond Dara, Achin, Nangarhar, Afghanistan",0,4,0,0,34.215777,71.026004,Afghanistan 
2016-07-09,"Kot, Nangarhar, Afghanistan",0,0,0,0,34.263148,70.788209,Afghanistan 
2016-07-11,"Achin, Nangarhar, Afghanistan",0,4,0,0,34.08218,70.667034,Afghanistan 
2016-07-13,"Mamond Dara, Achin, Nangarhar, Afghanistan",0,12,0,0,34.215777,71.026004,Afghanistan 
2016-07-13,"Kharawa, Landai and Kochiano-ghnodai, Achin, Nangarhar, Afghanistan",0,26,0,0,34.08218,70.667034,Afghanistan 
2016-07-14,"Bandar Khwar and Dah Sarak, Achin, Nangarhar, Afghanistan",2,12,0,0,34.08218,70.667034,Afghanistan 
2016-07-14,"Peera Khel, Khogyani, Nangarhar, Afghanistan",3,4,0,0,34.229212,70.193208,Afghanistan 
2016-07-15,"Reg Shahidan, Maiwand, Helmand, Afghanistan",2,30,0,0,31.363647,63.958611,Afghanistan 
2016-07-16,"Spin Zaea, Nazyano, Nangarhar, Afghanistan",0,15,0,0,34.171831,70.621679,Afghanistan 
2016-07-16,"Achin, Nangarhar, Afghanistan",0,6,0,0,34.08218,70.667034,Afghanistan 
2016-07-19,"Sangin, Sangin, Helmand, Afghanistan",0,0,0,0,32.071099,64.852586,Afghanistan 
2016-07-19,"Bandar, Achin, Nangarhar, Afghanistan",0,5,0,0,34.08218,70.667034,Afghanistan 
2016-07-20,"Achin, Nangarhar, Afghanistan",0,15,0,0,34.08218,70.667034,Afghanistan 
2016-07-23,"Achin, Nangarhar, Afghanistan",0,8,0,0,34.08218,70.667034,Afghanistan 
2016-07-23,"Achin, Nangarhar, Afghanistan",0,0,0,0,34.08218,70.667034,Afghanistan 
